Aquatic Life,Avg Viz,Bottom Comp,Contact,Entry Type,Fall,Location,Max Depth,Rating,Spring,Summer,Winter
Plenty To See,75.5,Sand,,Boat,," Guanaja Island, Honduras",105.5,4.00 by 1,,,
Plenty To See,,Coral,,Boat,," Guanaja, Honduras",125.5,,,,
Plenty To See,33,Coral,,Boat,73," Destin, FL",85.5,4.00 by 3,68,73,63
Plenty To See,33,Coral,,Boat,68," Destin, FL",85.5,3.50 by 2,63,68,63
Might See Something,7.5,Vegetation,,Shore,58," 1528 Rte 82, Ancram, NY",38,2.00 by 1,52.5,68,50
Might See Something,7.5,Rock,,Shore,," Pine Grove to Lickdale, PA 17963",7.5,4.00 by 1,,,
Might See Something,5,Clay/Muck,,Shore,," Pine Grove, PA 17963",7.5,3.00 by 2,58,73,
Might See Something,,Coral,,Shore,," Punta Brava, Quintana Roo, Mexico",18,,,,
Might See Something,5,Clay/Muck,,Boat,," failee, VT 05045",18,2.00 by 1,,,
,,,,,," englewood, CO",,3.00 by 1,,,
Might See Something,55.5,Coral,,Boat,73," Lanai City, HI",75.5,3.00 by 1,73,78,73
Might See Something,13,Clay/Muck,,Shore,68," Lawrence, MI 49064",55.5,3.00 by 1,50,68,50
Might See Something,7.5,Clay/Muck,,Shore,," Barbours, PA",13,1.00 by 1,,68,
Plenty To See,95.5,Coral,,Boat,83," San Andres, Catanduanes, Philippines",150,5.00 by 1,83,83,83
Plenty To See,75.5,Coral,,Shore,," Brisas de Ceiba, Ceiba County 00735, Puerto Rico",38,,,,
Might See Something,,Clay/Muck,,Shore,," 687 Tuscarora Park Rd, Barnesville, PA 18214",55.5,3.25 by 4,,,
,,Clay/Muck,,Shore,," Lakeshore Dr., Barrie, ON L4N2M6, Canada",28,2.00 by 2,,,
Plenty To See,33,Sand,,Boat,78," Panama City Beach, FL",75.5,3.00 by 2,73,83,68
Might See Something,85.5,,,Boat,," Delray, FL",105.5,5.00 by 1,,83,
Might See Something,13,Clay/Muck,,Shore,58," Malvern, IA",85.5,,58,73,
Might See Something,55.5,Rock,,Boat,," Comino Island, Malta",28,3.00 by 1,,,
Might See Something,115.5,Rock,,Shore,73," Dos Ojos road, km. 4, Tankah, Quintana Roo 77764, Mexico",,5.00 by 3,73,78,68
Big Animals,55.5,Sand,,Shore,, Aruba,65.5,4.00 by 1,,73,
Plenty To See,7.5,Rock,,Shore,," Blackwell, PA 16938",18,3.00 by 1,,,
Plenty To See,13,Rock,,Shore,," Stony Fork, PA 16901",28,4.00 by 1,,,
Might See Something,13,Clay/Muck,,Shore,83," Lakeville, Massachusettes",33,2.00 by 1,78,85,
Might See Something,55.5,Clay/Muck,,Boat,," Stoddard/Nelson, NH",105.5,3.00 by 1,,,
Plenty To See,45.5,Coral,,Boat,," Ari Atoll, Maldives",115.5,,,,
Might See Something,5,Rock,,Shore,," 1800 Medina Vista Lane, Leander, TX 78641",5,3.00 by 2,,,
Big Animals,105.5,Coral,,Boat,," Bora Bora, French Polynesia",75.5,5.00 by 1,,78,
Might See Something,55.5,Coral,,Boat,," Campbell River, BC, Canada",85.5,,,,
,33,Coral,,Shore,78," Brampton Island, Whitsundays, Queensland, Australia",33,2.00 by 1,78,83,73
Plenty To See,85.5,Coral,,Boat,78," Whitsundays, Queensland, Australia",145.5,3.00 by 1,78,83,73
Might See Something,18,Sand,,Shore,78," Mackay, Queensland, Australia",18,2.00 by 1,78,83,73
Plenty To See,85.5,Sand,,Shore,83," Taj Coral Reef Resort, Maldives",65.5,4.00 by 1,83,85,78
Plenty To See,45.5,Coral,,Boat,78," Key Largo, FL",23,4.00 by 1,78,83,73
Might See Something,7.5,Clay/Muck,,Boat,," Andover, NH",65.5,3.00 by 1,,73,
Might See Something,7.5,Clay/Muck,,Shore,," Green Oak Twp, MI",,,,63,
Plenty To See,38,Coral,,Boat,83, Dominican Republic,45.5,3.75 by 4,83,83,83
Plenty To See,45.5,Coral,,Shore,," 65 N Beach Dr, Dania Beach, FL 33004",18,4.00 by 2,,85,
Might See Something,23,Clay/Muck,2056637428,Shore,68," 100 Industrial Park Drive, Pelham, AL 35124",125.5,3.40 by 5,68,85,52.5
Might See Something,13,Rock,5129746700,Shore,," 7301 Spicewood Springs Rd, Austin, TX 78798",5,4.00 by 1,,,
Might See Something,7.5,Clay/Muck,,Shore,," 5700 Black Lake Blvd SW, Olympia, WA 98512",135.5,1.00 by 1,,,
Plenty To See,45.5,Sand,,Boat,," Hollywood, FL",75.5,3.33 by 3,,83,
Plenty To See,45.5,Coral,,Boat,73," Boca Chica Key, FL 33040",38,3.00 by 1,73,78,73
Plenty To See,23,Coral,,Boat,73," Boca Chica Key, FL 33040",33,2.00 by 1,73,78,73
Might See Something,23,Rock,,Shore,50," Sierra City, CA 96125",23,4.00 by 1,50,58,50
Might See Something,,Sand,,Shore,, Philippines,85.5,,,,
Plenty To See,38,Sand,,Shore,83," Piti Bay, Guam",23,3.00 by 1,83,85,83
Plenty To See,38,Coral,,Shore,83," Piti Bay, Guam",28,4.00 by 2,83,85,83
Might See Something,7.5,Rock,,Shore,," Belden, CA 95915",13,4.00 by 1,,78,
Might See Something,7.5,Clay/Muck,7243688811,Boat,52.5," 225 Pleasant Valley Rd, Portersville, PA 16051",18,3.00 by 1,68,73,50
Big Animals,7.5,Sand,,Boat,," Tarpon Springs, FL",65.5,3.00 by 1,,83,
Plenty To See,45.5,Coral,,Boat,83," Agat, Guam",65.5,4.00 by 1,83,85,83
Plenty To See,55.5,Coral,,Shore,83," Tumon Bay, Guam",150,4.50 by 2,83,85,83
Plenty To See,45.5,Coral,,Shore,83, Guam,125.5,5.00 by 2,83,85,83
Might See Something,28,Vegetation,,Boat,," Crystal River, FL",5,3.50 by 2,,,
Plenty To See,65.5,Sand,,Shore,83, Guam,125.5,3.50 by 2,83,85,83
Plenty To See,65.5,Coral,,Boat,83, Guam,65.5,4.00 by 1,83,85,83
Might See Something,65.5,Sand,,Boat,68," 286 Wacissa Spring Rd, Lamont, FL 32336",45.5,4.00 by 1,68,68,68
Plenty To See,95.5,Rock,,Boat,78, HI,150,5.00 by 1,78,83,73
Might See Something,45.5,Rock,,Shore,85," Coron Island, Philippines",95.5,5.00 by 1,85,85,85
Plenty To See,23,Sand,,Boat,58," Al Aquah, Fujairah, United Arab Emirates",105.5,4.00 by 1,73,83,52.5
,,,,Boat,," Sunda Straits, Java, Indonesia",115.5,,,,
Plenty To See,28,,,Boat,52.5," Avalon, CA",145.5,,52.5,52.5,52.5
Might See Something,5,Clay/Muck,,Boat,52.5," Greentown, PA 18426",23,3.00 by 1,52.5,68,50
None,33,Clay/Muck,,Shore,, NY,95.5,3.00 by 1,,,
Plenty To See,75.5,Sand,,Boat,," Freeport, TX",95.5,5.00 by 3,,83,
Plenty To See,85.5,Sand,,Boat,," Freeport, TX",95.5,4.33 by 3,,83,
Might See Something,13,Clay/Muck,,Shore,52.5, PA,55.5,2.00 by 1,50,58,50
Might See Something,23,Rock,,Shore,52.5," Evans Falls, PA",33,3.00 by 1,52.5,58,50
Might See Something,13,Clay/Muck,,Shore,," Hardenburgh, NY",65.5,2.00 by 1,,,50
None,23,Sand,,Shore,," Queenstown, Otago, New Zealand",45.5,5.00 by 1,,,50
Plenty To See,33,,3054073262,Shore,83," 11710 Overseas Hwy, Marathon, FL 33050",7.5,,83,83,83
Plenty To See,75.5,,,Boat,," Salt River Bay, Christiansted, St Croix, Virgin Islands (U.S.)",,4.00 by 1,,,
Plenty To See,45.5,Sand,,Boat,," Christiansted, St Croix, Virgin Islands (U.S.)",,4.00 by 1,,,
Might See Something,13,Sand,,Shore,," 5565 Timber Ridge Road, Gillsville, GA 30543",95.5,3.00 by 1,,,
Plenty To See,13,Sand,,Boat,63," Moriches Artificial Reef, East Moriches, NY 11940",75.5,3.00 by 1,52.5,63,50
None,5,Clay/Muck,,Shore,73," Central Falls, RI 02863",18,1.00 by 1,50,73,50
Plenty To See,125.5,Sand,,Boat,," Cancun, Quintana Roo, Mexico",85.5,5.00 by 2,,83,
Plenty To See,45.5,Coral,,Boat,83," West Palm Beach, FL",65.5,3.33 by 3,,,
Plenty To See,5,Coral,,Boat,," Puerto Galera, Philippines",145.5,4.00 by 1,68,78,
Plenty To See,5,Coral,,Boat,," Verde Island, Mindoro, Philippines",145.5,,,78,
Plenty To See,,Coral,,Boat,, Solomon Islands,,,,,
Plenty To See,,Coral,,Boat,," Mbaleva Island, Solomon Islands",,,,,
Plenty To See,,Coral,,Boat,," Mbaleva Island, Solomon Islands",,,,,
Plenty To See,,Coral,,Boat,," Petu Island, Solomon Islands",,,,,
Big Animals,,Vegetation,,Shore,," Sabang, Puerto Galera, Mindoro, Philippines",,3.00 by 1,,,
Big Animals,,Vegetation,,Boat,," Sabang, Puerto Galera, Mindoro, Philippines",,4.00 by 2,,,
Plenty To See,55.5,Coral,,Boat,," Sabang, Puerto Galera, Mindoro, Philippines",65.5,4.00 by 1,,,
Might See Something,,Coral,,Boat,," Boynton Beach, FL",,,,,
Might See Something,23,Clay/Muck,,Boat,," Lake George Beach, NY",45.5,,52.5,68,50
Might See Something,23,Clay/Muck,5186683352,Boat,," Lake George Beach, NY",105.5,4.00 by 1,52.5,68,50
Might See Something,28,Clay/Muck,,Boat,," Diamond Island, Lake George, NY",38,3.00 by 1,52.5,68,50
Might See Something,23,Sand,,Shore,58," 292 Stoneboro Road, Grove City, PA 16127",45.5,,68,73,50
Plenty To See,5,Sand,,Shore,68," RT 35 & Maplewood road, Belmar, NJ 07719",13,3.67 by 6,52.5,73,50
Might See Something,55.5,Sand,,Shore,63," Pensacola, FL 32507",18,1.00 by 1,63,83,63
Plenty To See,150,Coral,1000007973,Boat,73," Hurghada, Red Sea, Egypt",150,5.00 by 1,73,78,63
Plenty To See,55.5,Coral,,Boat,," Jupiter, FL",95.5,3.50 by 2,,83,
Plenty To See,55.5,Coral,,Boat,," Jupiter, FL",75.5,4.50 by 2,,83,
Plenty To See,45.5,Sand,2.01E+11,Boat,73," Hurghada, Red Sea, Egypt",45.5,5.00 by 1,73,78,68
Plenty To See,150,Coral,2.01E+11,Shore,73," Sharm El-Sheikh, South Sinai, Egypt",150,4.50 by 2,73,78,68
Might See Something,13,Sand,,Shore,52.5," Seattle, WA",150,2.67 by 3,52.5,52.5,50
Might See Something,,Coral,,Boat,," Kihei, Maui, HI",33,,,,
Plenty To See,,Coral,,Boat,," Varata Island, Solomon Islands",,,,,
Might See Something,,,,Boat,," St. Augustine, FL",105.5,,,,
,,,,Boat,83," Rakiraki, Viti Levu, Fiji",,,83,83,83
Plenty To See,,Coral,,Boat,," Mbaleva Island, New Georgia Group, Solomon Islands",95.5,,,,
Plenty To See,,Coral,,Boat,," New Georgia Group, Solomon Islands",,,,,
Might See Something,18,Clay/Muck,,Shore,," Exeter, RI",18,3.00 by 1,,78,50
Might See Something,7.5,Clay/Muck,,Shore,63," Lincoln, RI",13,2.00 by 1,,,50
Might See Something,23,Sand,,Boat,63," Santa Catalina Island, Santa Catalina Island, CA 90704",145.5,3.67 by 3,,,
Plenty To See,38,Rock,,Boat,63," Santa Catalina, CA 90704",65.5,4.00 by 1,,,
Plenty To See,125.5,Sand,2.01E+11,Shore,73," Marsa Allam, Egypt",125.5,5.00 by 1,73,83,63
Might See Something,13,Sand,,Shore,," ruston way, tacoma, WA",85.5,2.50 by 2,,,52.5
,,,,,," Kuching Sarawak, Malaysia",,,,,
,,,,,," Kuching Sarawak, Malaysia",,,,,
,,,,,," Kuching Sarawak, Malaysia",,,,,
,65.5,,,,," Sangiang, Indonesia",95.5,,,,
,,,,,," Banyuning, Bali, Indonesia",,,,,
,,,,,," Flores, Indonesia",,,,,
,,,,,," Gili Meno, Lombok, Indonesia",,,,,
,,,,,," Ambon, Maluku Islands, Indonesia",,,,,
,,,,,," Gorontalo, Sulawesi, Indonesia",,,,,
,,,,,," Gorontalo, Sulawesi, Indonesia",,,,,
,,,,,," Lembeh Strait, Sulawesi, Indonesia",,,,,
,,,,,," Togian Islands, Sulawesi, Indonesia",,,,,
Plenty To See,13,Sand,,Shore,63," Malibu Road, Malibu, CA 90265",33,4.00 by 1,63,73,63
,,,,,," Labuan, Brunei",,5.00 by 1,,,
,,,,,," Labuan, Brunei",,5.00 by 1,,,
,,,,,," Labuan, Brunei",,,,,
,,,,,," Labuan, Brunei",,,,,
,,,,,," Bandar Seri Begawan, Brunei",,,,,
Might See Something,7.5,Clay/Muck,,Boat,68," Lake Keowee, Seneca, SC 29678",75.5,2.00 by 2,,,
Plenty To See,13,Clay/Muck,,Shore,50," Cooke, PA 17324",55.5,4.00 by 1,,,
Might See Something,23,Sand,,Shore,52.5," lakewood, WA",85.5,3.00 by 2,52.5,63,52.5
Big Animals,65.5,Coral,,Boat,78," Freeport, TX",150,4.50 by 4,68,83,63
Plenty To See,7.5,Clay/Muck,,Shore,52.5," Portage, MI",28,4.00 by 1,50,68,50
Big Animals,45.5,Sand,,Boat,83, Costa Rica,150,5.00 by 1,83,83,83
Might See Something,,,,Shore,, Scotland,115.5,,,,50
,,,,Boat,, NC,150,,,,
Might See Something,38,Sand,,Boat,83," Ocho Rios, Jamaica",45.5,3.50 by 2,83,83,83
,,,,Boat,," Providenciales, Turks And Caicos Islands",,3.00 by 3,,,
Plenty To See,150,Coral,8003673484,Shore,85," J.A. Abraham Boulevard 40, Kralendijk, Bonaire",150,5.00 by 1,,,
Big Animals,5,,,Boat,52.5," Inverness, Scotland",150,,50,58,50
Might See Something,5,Clay/Muck,,Shore,58," 525-597 Lakes Rd, Monroe, NY 10950",65.5,1.00 by 1,50,73,50
Might See Something,7.5,Clay/Muck,2549338355,,68," 4600 Simmons Rd., Belton, TX 76513",105.5,,,,
Might See Something,5,Clay/Muck,9722913900,Shore,63," 1570 West FM 1382, Cedar Hill, TX 75104",75.5,1.00 by 1,63,83,50
Might See Something,,Coral,5616246952,Shore,," 10900 Jack Nicklaus Dr, North Palm Beach, FL 33408",13,,,,68
Might See Something,18,Sand,,Shore,52.5," ruston way, tacoma, WA",150,3.00 by 1,,58,
Might See Something,,Rock,,Boat,52.5," Manasquan, NJ",135.5,,58,68,50
Might See Something,33,Sand,,Boat,," off Port of Long Beach, CA",150,,,,
Plenty To See,38,Coral,,Boat,," Honolulu, HI",65.5,,,,
Plenty To See,38,Coral,,Boat,78," Cairns, Qld, Australia",55.5,3.00 by 1,78,83,73
Might See Something,,Sand,,Boat,, Saint Kitts And Nevis,33,,,,
Might See Something,,Coral,,Boat,," Lahaina, HI",28,2.00 by 1,,,78
Might See Something,23,Sand,2536614955,Shore,," 5700 Southwest Dash Point Road, Tacoma, WA 98023",115.5,3.00 by 2,,,50
Might See Something,23,Sand,,Boat,," Steilacoom, Wa.",150,,,,50
Might See Something,,Clay/Muck,,Shore,68," Desert Tortoise Rd, Morristown, AZ 85342",150,1.00 by 2,68,73,63
Might See Something,,Sand,,Boat,63," Atlantic City, NJ",95.5,,52.5,68,50
Might See Something,,Sand,,Boat,63," Atlantic City, NJ",65.5,5.00 by 1,52.5,68,50
Might See Something,,Sand,,Boat,63, NJ,95.5,,52.5,68,50
Might See Something,,Sand,,Boat,63," Atlantic City, NJ",105.5,4.00 by 1,52.5,68,50
Plenty To See,55.5,,,Boat,83," Malakal Harbor, Palau",115.5,,83,83,83
Plenty To See,,Sand,,Boat,83," Malakal Harbor, Palau",115.5,,83,83,83
Plenty To See,,,,Boat,83," Lighthouse Channel, Palau",75.5,,83,83,83
Might See Something,75.5,Sand,,Boat,," Colombo, Sri Lanka",105.5,3.00 by 1,,,
Might See Something,,,,,50," Bird Cove, Hudson Bay, NU, Canada",,,50,50,50
,,,,,50," MB, Canada",,,50,50,50
Might See Something,5,Rock,2546943033,Shore,," 273 Lofers Bend Park, Whitney, TX 76692",65.5,3.00 by 1,,,50
,,,,,," 261 Margaret Street, Key West, FL 33040",,3.00 by 1,,,
,,,,,," 125 Ann Street, Key West, FL 33040",,3.00 by 2,,,
,,,,,," P.O. Box SS 5004, Nassau, New Providence Island, Bahamas",,3.00 by 1,,,
Big Animals,55.5,Sand,2535915337,,78," 5400 N. Pearl St., Tacoma, WA 98407",13,5.00 by 3,78,78,78
Might See Something,,Sand,,Boat,," Cape May, NJ",150,,,,50
Might See Something,95.5,Sand,3522367148,Shore,73," 1425 Northeast 58th Avenue, Ocala, FL 34470",33,5.00 by 2,73,73,73
Might See Something,45.5,,,Boat,," Ponza, Italy",85.5,,,,
Might See Something,13,Clay/Muck,,Shore,," 38180 297th Street, Lake Andes, SD 57356",,1.00 by 1,,,
Might See Something,7.5,Sand,7725899659,Shore,," 9700 S. Hwy A1A, Melbourne, FL 32951",,2.67 by 3,,,
Might See Something,,,,,," West Newton, PA 15089",105.5,,,,
Plenty To See,13,Rock,,Boat,52.5, South Africa,65.5,,52.5,52.5,52.5
Might See Something,18,Clay/Muck,,Shore,," None, Denison, TX 75020",45.5,3.00 by 2,,,50
Might See Something,,Clay/Muck,,Boat,, United Kingdom,150,,,,
Might See Something,,Clay/Muck,,Boat,, United Kingdom,150,,,,50
Might See Something,,Clay/Muck,,Boat,, United Kingdom,150,,,,50
Might See Something,18,Clay/Muck,,Shore,," Peoria, AZ 85383",150,3.00 by 1,58,,52.5
Plenty To See,105.5,Coral,,Boat,," Nassau, Bahamas",75.5,4.33 by 3,,,
,105.5,Coral,,Boat,," Nassau, Bahamas",23,5.00 by 1,,,
Might See Something,,,,,," Mission Beach, San Diego, CA",55.5,,,,
Might See Something,13,Sand,,Boat,63," Off Little Egg Harbor, Nj - New Jersey",65.5,,52.5,68,50
Might See Something,28,Sand,,Boat,63," Off Beachhaven, NJ",65.5,3.00 by 1,58,68,50
Might See Something,,Sand,,,," Buleleng, Bali, Indonesia",95.5,,,,
Might See Something,,,,Boat,," Tangked Penyu, Bali, Indonesia",95.5,,,,
Plenty To See,38,Sand,,Shore,63," Granada, La Herradura, Granada, Spain",150,4.00 by 1,68,73,52.5
Plenty To See,18,Sand,,Boat,," Monterey, CA",55.5,4.00 by 1,,,58
Plenty To See,18,Sand,,Shore,," Monterey, CA",,3.67 by 3,,,
Plenty To See,18,Sand,,Shore,," Kaikoura, Canterbury, New Zealand",45.5,4.00 by 1,,,
Plenty To See,45.5,Sand,,Shore,," Uruma, Okinawa, Japan",33,3.00 by 1,,,68
Plenty To See,55.5,Coral,,Boat,," Okuma, Okinawa, Japan",85.5,4.00 by 1,,,68
Plenty To See,33,Sand,,Boat,," Monterey, CA",,,,,
Might See Something,65.5,Rock,,Boat,63," Palau, Sardegna, Italy",95.5,3.00 by 1,58,73,58
Plenty To See,,,,,," New Britain Island, Papua New Guinea",,,,,
Big Animals,18,,,Boat,50, United Kingdom,,,50,50,50
Plenty To See,75.5,Coral,,Shore,," Okinawa, Japan",145.5,5.00 by 2,73,,
Plenty To See,38,Sand,,Shore,," Okinawa, Japan",45.5,1.00 by 1,,78,
Plenty To See,95.5,Coral,,Boat,73," Xpu-Ha, Mexico",38,4.00 by 1,73,78,
Might See Something,28,Clay/Muck,,Boat,50, Estonia,150,,50,50,50
Might See Something,18,Rock,18313956605,Shore,," 32 Cannery Row #D, Monterey, CA 93940",75.5,3.50 by 2,52.5,52.5,52.5
None,38,Clay/Muck,8649449255,Boat,63," Lake Jocassee, Salem, SC 29676",135.5,,50,58,50
Might See Something,18,Rock,8649449255,Boat,68," Lake Jocassee, salem, SC 29676",55.5,,52.5,73,50
Might See Something,23,Clay/Muck,8649449255,Boat,68," Lake Jocassee, Salem, SC 29676",125.5,,63,73,50
Plenty To See,95.5,Coral,,Boat,78," Grand Turk TKCA 1 ZZ, Turks And Caicos Islands",95.5,5.00 by 2,78,83,73
Plenty To See,75.5,Coral,,Boat,78," Grand Turk, Turks And Caicos Islands",55.5,4.00 by 1,78,83,73
Might See Something,18,,,Shore,," Lake Jocassee, Salem, SC 29676",33,,,78,
Might See Something,18,,,Boat,," Lake Jocassee, Salem, SC 29676",150,,,78,
Might See Something,28,,,Boat,," Lake Jocassee, Salem, SC 29676",150,,,78,
Might See Something,85.5,Clay/Muck,,Boat,50," Wladyslawowo, Poland",150,,50,50,50
Plenty To See,,Coral,,Boat,," Vanua Levu, Fiji",,,,83,78
Plenty To See,,Coral,,Boat,," Taveuni, Fiji",55.5,,,,
Might See Something,,Sand,,Boat,," Lake Erie, Port Stanley, ON, Canada",75.5,,,,50
,18,Sand,,Shore,52.5," Monterey, CA 93940",33,3.00 by 1,52.5,52.5,52.5
,,Rock,,Shore,52.5," Pacific Grove, CA 93950",,3.50 by 2,52.5,52.5,52.5
Plenty To See,55.5,Coral,,Boat,," Matangi, Fiji",150,,,83,78
Might See Something,,Sand,,Boat,," La Rochelle, France",135.5,,,,
,18,Sand,,Boat,, Poland,65.5,,,,50
Plenty To See,65.5,Coral,,Boat,," Taveuni, Fiji",75.5,,,83,78
Plenty To See,65.5,Coral,,Boat,," Taveuni, Fiji",150,,,83,78
Plenty To See,65.5,Coral,,Boat,," Taveuni, Fiji",65.5,,,83,78
Plenty To See,33,Coral,,Boat,," Taveuni, Fiji",55.5,,,83,78
Plenty To See,65.5,Coral,,Boat,," Taveuni, Fiji",125.5,,,83,78
Plenty To See,65.5,Coral,,Boat,," Taveuni, Fiji",125.5,,,83,78
Might See Something,,Coral,,Boat,," Ngaremediu Reef, Palau",7.5,,,,
Big Animals,28,Coral,,Boat,, Palau,85.5,,,,
Might See Something,,Coral,,Boat,, Palau,45.5,,,,
Might See Something,38,Coral,,Boat,, Palau,75.5,,,,
Might See Something,,Coral,,Boat,, Palau,105.5,,,,
Might See Something,,Sand,,Boat,," Egmont Key, St. Petersburg, FL",13,,,,68
Might See Something,,Sand,,Boat,," Ushant, France",150,,,,
Might See Something,23,,,Boat,," Halkett Bay Marine Bay Park, Howe Sound, BC, Canada",,4.00 by 1,50,,50
Plenty To See,55.5,No Bottom,7844582255,Shore,83," Richmond Vale, Chateaubelair, Saint Vincent And The Grenadines",150,5.00 by 1,83,83,83
Might See Something,45.5,Coral,,Boat,," West of Koror, Palau",150,,,,
Might See Something,28,Coral,,Shore,, Palau,28,,,,
Plenty To See,55.5,Coral,,Boat,, Palau,150,,,,
Might See Something,23,Sand,,Shore,50," Point Defiance Park, Ruston, WA",150,3.00 by 2,50,50,50
Might See Something,5,Clay/Muck,,Shore,50," Marine Park 4015 Ruston Way, Tacoma, WA",150,4.00 by 2,50,50,50
Plenty To See,13,Sand,,Boat,," Monterey, CA",,4.00 by 1,,,
Might See Something,,Coral,,Boat,," uepi, marovo lagoon, Solomon Islands",125.5,,,,
Might See Something,13,Clay/Muck,,Boat,," Allons, TN 38541",28,,,,
Might See Something,13,Clay/Muck,,Boat,, TN,95.5,,,,
Might See Something,,Clay/Muck,,Shore,, MO,,2.75 by 4,,,
Plenty To See,45.5,Sand,,Shore,73," Tabaiba, Tenerife, Spain",125.5,,63,73,68
Big Animals,55.5,Sand,,Shore,73," Tenerife, Spain",38,4.00 by 1,68,73,68
Big Animals,55.5,Rock,,Boat,73," Golf Del Sur, Tenerife, Spain",105.5,,68,73,68
Plenty To See,45.5,Sand,,Boat,73," Los Abrigos, Tenerife, Spain",55.5,,68,73,68
Plenty To See,45.5,Rock,,Boat,73," Costa Silencio, Tenerife, Spain",65.5,,68,73,68
Plenty To See,55.5,Rock,,Shore,73," Las Eras, Tenerife, Spain",115.5,,68,73,68
Might See Something,23,Clay/Muck,,Shore,," Lake Pleasant, AZ",150,1.75 by 4,58,63,
Might See Something,,Sand,,Boat,," Deerfield, FL",75.5,,73,,68
Might See Something,,Sand,,Boat,," Pompano, FL",85.5,3.00 by 2,,,68
Might See Something,,Sand,,Boat,," Pompano, FL",,,,,68
Might See Something,,Sand,,Boat,," Pompano, FL",150,,,,68
Might See Something,,Sand,,Boat,," Pompano, FL",115.5,,,,68
Might See Something,,Sand,,Boat,," Pompano, FL",150,,,,68
Might See Something,,Coral,,Boat,," Pompano Beach, FL",65.5,,,,68
Might See Something,,Coral,,Boat,," Pompano Beach, FL",28,,,,68
Plenty To See,115.5,Sand,5045653033,Shore,78," 1 Canal St, New Orleans, LA 70130",18,3.00 by 1,78,78,78
Plenty To See,55.5,Coral,,Boat,," Biscayne National Park, FL",85.5,,,,68
Might See Something,,Coral,,Boat,," Pompano Beach, FL",65.5,4.33 by 3,,,68
Might See Something,,Coral,,Boat,," Pompano Beach, FL",45.5,,,,68
Big Animals,,Coral,,Boat,," Pompano Reef, FL",65.5,,,,68
Might See Something,,Coral,,Boat,," Pompano, FL",45.5,,,,68
Might See Something,33,Coral,,Boat,," Pompano, FL",75.5,3.00 by 1,,,68
Might See Something,,Sand,,Boat,," Pompano Beach, FL",150,,,,68
Plenty To See,,,,Boat,," St. Thomas, Virgin Islands (U.S.)",105.5,,,,
Plenty To See,55.5,,,Boat,, Virgin Islands (U.S.),45.5,,,,
Plenty To See,85.5,Coral,,Boat,83, Virgin Islands (British),55.5,,83,83,83
Plenty To See,38,Sand,,Boat,, Virgin Islands (British),55.5,,,,
,,Clay/Muck,,Shore,," Bullhead City, AZ 86429",,4.00 by 1,,,
Plenty To See,,,,Boat,," Oranjestad, Aruba",38,4.00 by 1,,,
Might See Something,,,,,," Sainte Marie Island, Madagascar",,,,,
Might See Something,,Sand,,Boat,," Roi-namur, Marshall Islands",125.5,,,,
Plenty To See,,Sand,,Boat,," Anacapa Island, Channel Islands, Ventura County, CA",45.5,,,,
Plenty To See,23,Sand,,Boat,," Anacapa Island, Channel Islands, Ventura County, CA",45.5,,58,,
Plenty To See,55.5,,,Boat,, Bahamas,38,4.00 by 1,,,
Plenty To See,,,,Boat,, Bahamas,23,,,,
Plenty To See,150,Coral,,Boat,," Exuma Cays, Bahamas",150,,,,
,,,,Boat,," Exuma Cays, Bahamas",,5.00 by 1,,,
Plenty To See,150,,,Boat,," Exuma Cays, Bahamas",150,,,,
,,,,,," Exuma Cays, Bahamas",,,,,
,,,,Boat,," Exuma Cays, Bahamas",,,,,
,,,,Boat,," Exuma Cays, Bahamas",,,,,
,,,,,," Pimlico Cay, Bahamas",,,,,
None,,,,Boat,," Pimlico Cay, Bahamas",,,,,
,,,,Boat,," Exuma Cays, Bahamas",,,,,
Might See Something,7.5,Clay/Muck,,Shore,, NJ,13,2.50 by 2,,,50
Plenty To See,85.5,Coral,,Boat,78," Kihei, Maui, Hi",115.5,4.50 by 2,78,78,78
Plenty To See,75.5,Coral,,Boat,," Sosua, Puerto Plata, Dominican Republic",75.5,4.00 by 1,78,,
Plenty To See,85.5,Coral,,Boat,," Sosua, Puerto Plata, Dominican Republic",95.5,4.00 by 1,78,,
Plenty To See,65.5,Coral,,Boat,," Sosua, Puerto Plata, Dominican Republic",55.5,3.00 by 1,78,,
Might See Something,,,,Shore,," Washington Courthouse, OH 43160",,4.00 by 2,50,,50
Plenty To See,95.5,Coral,,Shore,, Palau,38,,83,83,
,,,,Boat,," Kota Kinabalu, Malaysia",,,,,
,,,,Boat,," Kota Kinabalu, Malaysia",,,,,
,,,,Boat,," Kota Kinabalu, Malaysia",,,,,
Might See Something,23,Clay/Muck,,Shore,68," Round Lake Rd., Cedar Lake, ON, Canada",28,,,,
Plenty To See,55.5,Coral,,Boat,78," La Romana, Dominican Republic",75.5,4.33 by 6,,,
Might See Something,28,Rock,,Boat,73," Shallotte, NC",65.5,4.00 by 1,68,83,52.5
,,,,Boat,," Miri, Malaysia",,,,,
Plenty To See,55.5,Coral,,Boat,78," Key West, FL",33,3.50 by 2,73,83,
Plenty To See,45.5,Coral,,Boat,," Marathon, FL",28,3.00 by 1,,,
Might See Something,5,Clay/Muck,,Shore,," 9500 Lime Creek Rd., Leander, TX 78641",38,3.50 by 2,,,
Might See Something,,,,Shore,," 361 Lake Leamon Road, Wallace, NC 28466",,2.50 by 2,,,
